Product Page_url,Product Image_url,Image_Large,Product Name,Product Title,Product Listing Title,Brand,Catalog Number,Model/Part Number,Base Unit of Measure,Family,Series,Heating Capacity,Heating Efficiency,Configuration,Blower Size,Gas Stages,Blower Type,Product Voltage,Product Depth,Product Width,Product Height,Gross Weight,Type,Energy Star Certified,Low Nox
https://www.lennoxpros.com/ml193uh110xe48c-93afue-upflow-horizontal-gas-furnace/p/17A57,https://images.lennoxpros.com/is/image/LennoxIntl/17A57?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/17A57,Lennox ML193UH110XE48C Furnace,"Lennox Merit ML193E, ML193UH110XE48C, 93% AFUE, 110000 BTU, 4 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML193UH110XE48C 1 Stage Heat Furance,Lennox,17A57,ML193UH110XE48C,Unit(S),ML193UHE,Merit,110000 Btuh,93% AFUE,Upflow/Horizontal,4 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,163 lbs.,,Yes (U.S. South),Low NOx
https://www.lennoxpros.com/lennox-gas-furnace-merit-series-ml196uh090xe36c/p/19V20,https://images.lennoxpros.com/is/image/LennoxIntl/19V20?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/19V20,Lennox ML196UH090XE36C Furnace,"Lennox Merit ML196E, ML196UH090XE36C, 96% AFUE, 88000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML196UH090XE36C 1 Stage Heat Furance,Lennox,19V20,ML196UH090XE36C,Unit(S),ML196E,Merit,88000 Btuh,96% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,28.75 Inch,21 Inch,33 Inch,147 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/ml193uh090xe48c-93afue-upflow-horizontal-gas-furnace/p/17A56,https://images.lennoxpros.com/is/image/LennoxIntl/17A56?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/17A56,Lennox ML193UH090XE48C Furnace,"Lennox Merit ML193E, ML193UH090XE48C, 93% AFUE, 88000 BTU, 4 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML193UH090XE48C 1 Stage Heat Furance,Lennox,17A56,ML193UH090XE48C,Unit(S),ML193UHE,Merit,88000 Btuh,93% AFUE,Upflow/Horizontal,4 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,151 lbs.,,Yes (U.S. South),Low NOx
https://www.lennoxpros.com/lennox-gas-furnace-merit-series-ml196uh090xe60c/p/19V21,https://images.lennoxpros.com/is/image/LennoxIntl/19V21?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/19V21,Lennox ML196UH090XE60C Furnace,"Lennox Merit ML196E, ML196UH090XE60C, 96% AFUE, 88000 BTU, 5 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML196UH090XE60C 1 Stage Heat Furance,Lennox,19V21,ML196UH090XE60C,Unit(S),ML196E,Merit,88000 Btuh,96% AFUE,Upflow/Horizontal,5 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,28.75 Inch,21 Inch,33 Inch,157 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/ml196uh045xe36b-gas-furnace/p/19A32,https://images.lennoxpros.com/is/image/LennoxIntl/19A32?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/19A32,Lennox ML196UH045XE36B Furnace,"Lennox Merit ML196E, ML196UH045XE36B, 96% AFUE, 44000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML196UH045XE36B 1 Stage Heat Furance,Lennox,19A32,ML196UH045XE36B,Unit(S),ML196E,Merit,44000 Btuh,96% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,119 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/ml196uh070xe36b-gas-furnace/p/19A33,https://images.lennoxpros.com/is/image/LennoxIntl/19A33?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/19A33,Lennox ML196UH070XE36B Furnace,"Lennox Merit ML196E, ML196UH070XE36B, 96% AFUE, 66000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML196UH070XE36B 1 Stage Heat Furance,Lennox,19A33,ML196UH070XE36B,Unit(S),ML196E,Merit,66000 Btuh,96% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,127 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/ml196uh090xe48c-gas-furnace/p/19A34,https://images.lennoxpros.com/is/image/LennoxIntl/19A34?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/19A34,Lennox ML196UH090XE48C Furnace,"Lennox Merit ML196E, ML196UH090XE48C, 96% AFUE, 88000 BTU, 4 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML196UH090XE48C 1 Stage Heat Furance,Lennox,19A34,ML196UH090XE48C,Unit(S),ML196E,Merit,88000 Btuh,96% AFUE,Upflow/Horizontal,4 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,149 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/ml180uh070v36a-gas-furnace/p/17Y69,https://images.lennoxpros.com/is/image/LennoxIntl/17Y69?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/17Y69,Lennox ML180UH070V36A Furnace,"Lennox Merit ML180V, ML180UH070V36A, 80% AFUE, 66000 BTU, 3 Ton, 1 Stage Heat, Variable Speed Upflow/Horizontal Gas Furnace",Lennox ML180UH070V36A 1 Stage Heat Furance,Lennox,17Y69,ML180UH070V36A,Unit(S),ML180V,Merit,66000 Btuh,80% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,14.5 Inch,33 Inch,111 lbs.,1-Stage Variable Speed Horizontal Gas Furnace,No,
https://www.lennoxpros.com/ml196uh110xe60c-gas-furnaces/p/19A35,https://images.lennoxpros.com/is/image/LennoxIntl/19A35?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/19A35,Lennox ML196UH110XE60C Furnace,"Lennox Merit ML196E, ML196UH110XE60C, 96% AFUE, 110000 BTU, 5 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML196UH110XE60C 1 Stage Heat Furance,Lennox,19A35,ML196UH110XE60C,Unit(S),ML196E,Merit,110000 Btuh,96% AFUE,Upflow/Horizontal,5 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,161 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/ml180uh110v60c-gas-furnace/p/17Y76,https://images.lennoxpros.com/is/image/LennoxIntl/17Y76?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/17Y76,Lennox ML180UH110V60C Furnace,"Lennox Merit ML180V, ML180UH110V60C, 80% AFUE, 110000 BTU, 5 Ton, 1 Stage Heat, Variable Speed Upflow/Horizontal Gas Furnace",Lennox ML180UH110V60C 1 Stage Heat Furance,Lennox,17Y76,ML180UH110V60C,Unit(S),ML180V,Merit,110000 Btuh,80% AFUE,Upflow/Horizontal,5 Ton,1 Stage Heat,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,149 lbs.,1-Stage Variable Speed Horizontal Gas Furnace,No,
